Trail_CODE,Name,Type,CODE,Title,FILENAME,DESCRIPTION,Column2
DGS,The Devil's Glen - Seamus Heaney Walk,,DG5,Bridge over valley,DG5.jpg,,Ok
DGS,The Devil's Glen - Seamus Heaney Walk,,DG6,View,DG6.jpg,,Ok
DGW,The Devil's Glen - Waterfall Walk,,DGW1,Waterfall,DGW1.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW2,Forest Path,DGW2.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW3,Arch,DGW3.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW4,Top of Waterfall,DGW4.jpg,,
DGW,The Devil's Glen - Waterfall Walk,,DGW5,Waterfall 2,DGW5.jpg,,
DWD,Djouce Woods - Deerpark Walk,,DWD1,Track with valley,DWD1.jpg,,Add map image
DWD,Djouce Woods - Deerpark Walk,,DWD3,Track with Forest,DWD3.jpg,,
DWD,Djouce Woods - Deerpark Walk,,DWD5,Map,DWD5.jpg,,
DWD,Djouce Woods - Deerpark Walk,,DWD7,Enniskerry,DWD7.jpg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG1,Polanass Waterfall,DWTG1.jpg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG2,Glendalough Upper Lake,DWTG2.jpg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG3,Trail with Lake View,DWTG3.jpeg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG4,Glendalough Monastic Site,DWTG4.jpg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG6,Glendalough Lower Lake,DWTG6.jpg,,
DWT,Derrybawn Woodland Trail - Glendalough,POI,DWTG7,Round Tower Glendalough,DWTG7.jpg,,
FLP,Fauna Loop,,FLP1,Map,FLP1.jpg,,use map image
FLP,Fauna Loop,,FLP2,Donard Village,FLP2.jpg,,
FLP,Fauna Loop,,FLP3,Lugnaquilla,FLP3.jpg,,
FLP,Fauna Loop,,FLP4,Glen of Imaal,FLP4.jpg,,
GBC,Glen Beach Cliff Walk,,GBC1,Cliff view toward golf course,GBC1.jpg,,Use map image
GRW,Green Road Walk - Glendalough,,GRW2,Lake,GRW2.jpg,,
GRW,Green Road Walk - Glendalough,,GRW3,Map,GRW3.jpg,,
ALG,Arklow Loops Glenart Walk,,GWW1,Path 1,GWW1.jpg,,
ALG,Arklow Loops Glenart Walk,,GWW3,Glenart forest,GWW3.jpg,,
ALG,Arklow Loops Glenart Walk,,GWW5,Path 2,GWW5.jpg,,
KLP,Kyle Loop,,KLP2,Ferns,KLP2.jpg,,
KTT,Kindlestown Trail,POI,KT1,Sugarloaf 1,KT1.jpg,,
KTT,Kindlestown Trail,POI,KT2,Trail 1,KT2.jpg,,
KTT,Kindlestown Trail,POI,KT3,Trail 2,KT3.jpg,,
KTT,Kindlestown Trail,POI,KT4,Sugarloaf 2,KT4.jpeg,,
KTT,Kindlestown Trail,POI,KT5,View of Greystones,KT5.jpg,,
LMP,Lacken Mass Path,,LMP1,Lake View,LMP1.jpg,,
LMP,Lacken Mass Path,,LMP2,Stone,LMP2.jpg,,
LMP,Lacken Mass Path,,LMP3,Forest,LMP3.jpg,,
LMP,Lacken Mass Path,,LMP4,Flower,LMP4.jpg,,
MRW,Miners Road Walk - Glendalough,,MRW1,Trail in Forest,MRW1.jpg,,
MRW,Miners Road Walk - Glendalough,,MRW2,Trail,MRW2.jpg,,
MRW,Miners Road Walk - Glendalough,,MRW3,Mountain with Lake,MRW3.jpg,,
PGL,Poulanass - Glendalough,,PGL1,Waterfall,PGL1.jpg,,
PGL,Poulanass - Glendalough,,PGL2,Waterfall,PGL2.jpg,,
PGL,Poulanass - Glendalough,,PGL3,Waterfall,PGL3.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW1,Forest Trail,RKW1.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW2,Sign,RKW2.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW3,Avoca Village,RKW3.jpg,,
ARK,Avoca Red Kite Loop,POI,RKW4,Forest Trail 2,RKW4.jpg,,
SGG,Spinc & Glenealo Valley - Glendalough,,SGG1,Lake,SGG1.jpg,,Ok
SGG,Spinc & Glenealo Valley - Glendalough,,SGG2,Steps with Lake,SGG2.png,,Ok
SGG,Spinc & Glenealo Valley - Glendalough,,SGG3,Track with Valley,SGG3.jpg,,Ok
SGG,Spinc & Glenealo Valley - Glendalough,,SGG6,Miners Village,SGG6.jpg,,Ok
SGG,Spinc & Glenealo Valley - Glendalough,,SGG7,Glendalough Upper Lake - copyright issue?,SGG7.jpg,,Crop
KPP,St Kevins Way - Pilgrim Path,,SKWPP1,Valley,SKWPP1.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP1,Valley,SKWPP1.jpg,,
KPP,St Kevins Way - Pilgrim Path,,SKWPP2,River,SKWPP2.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP2,River,SKWPP2.jpg,,
KPP,St Kevins Way - Pilgrim Path,,SKWPP3,Mountain,SKWPP3.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP3,Mountain,SKWPP3.jpg,,
KPP,St Kevins Way - Pilgrim Path,,SKWPP4,Mountain 2 ,SKWPP4.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP4,Mountain 2 ,SKWPP4.jpg,,
KPP,St Kevins Way - Pilgrim Path,,SKWPP5,Path with tree,SKWPP5.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP5,Path with tree,SKWPP5.jpg,,
KPP,St Kevins Way - Pilgrim Path,,SKWPP6,Road Sign,SKWPP6.jpg,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),,SKWPP6,Road Sign,SKWPP6.jpg,,
SLW,Sugar Loaf Way,,SLW1,Sugar Loaf Mountain,SLW1.jpg,,Ok
SSG,Spinc - Short Route - Glendalough,,SSG2,Spinc with track,SSG2.jpg,,
SSG,Spinc - Short Route - Glendalough,,SSG3,Map,SSG3.jpg,,Ok
SSG,Spinc - Short Route - Glendalough,,SSG4,Poulaness Waterfall,SSG4.jpg,,Ok
SSG,Spinc - Short Route - Glendalough,,SSG5,Glendalough Upper Lake - copyright issue?,SSG5.jpg,,Crop
TRW,Tinahely Railway Walk,,TRW1,Bridge,TRW1.jpg,,Ok
TRW,Tinahely Railway Walk,,TRW2,Underbridge,TRW2.jpg,,Ok
TRW,Tinahely Railway Walk,,TRW5,Trail,TRW5.jpg,,Ok
WRG,Woodland Road - Glendalough,,WRG1,House,WRG1.jpg,,Ok
WRG,Woodland Road - Glendalough,,WRG2,Lake,WRG2.jpg,,Ok
WRG,Woodland Road - Glendalough,,DWTG6,Glendalough Lower Lake,DWTG6.jpg,,Replace with lower lake pic
